Module,Function,Tag,en,zh-Hans
"AD","Skip","Label","Skip %d","跳过 %d"
"Album","Button","","Album","相册"
"Album","Permission","Msg","Allow Spotlite to access Album","Spotlite需要访问您的麦克风，请到设置中开启。"
"Audio","Effect","Auto_Reverberation","Auto Reverberation","合唱团"
"Audio","Effect","Auto_Text","Chorus","合唱"
"Audio","Effect","AutoTone","Techno","电音"
"Audio","Effect","Concert","Concert","演唱会"
"Audio","Effect","Dance","Dance","舞曲"
"Audio","Effect","DoubleU","Illusion","迷幻"
"Audio","Effect","Free_Reverberation","Free Reverberation","超级混响"
"Audio","Effect","Harmonic_Text","Harmonic","团"
"Audio","Effect","Ktv","KTV","KTV"
"Audio","Effect","Live_Studio","Live Studio","录音室"
"Audio","Effect","Live_Valley","Live Valley","空谷"
"Audio","Effect","NewAge","New Age","新世纪"
"Audio","Effect","Not_Support_Text","Effect not supported","歌曲不支持使用此特效"
"Audio","Effect","Original","Original","原声"
"Audio","Effect","Phonograph","Phono","留声机"
"Audio","Effect","Pop","Pop","Pop"
"Audio","Effect","Reverb_L0","Normal","原声"
"Audio","Effect","Reverb_L10","Professional","魔音怪咖"
"Audio","Effect","Reverb_L20","Dominating","实力唱将"
"Audio","Effect","Reverb_L30","Godlike","专业歌手"
"Audio","Effect","Reverb_L40","Legendary","顶级歌神"
"Audio","Effect","Reverberation","Reverberation","混响"
"Audio","Effect","RnB","R&B","R&B"
"Audio","Effect","Robot","Robot","机器人"
"Audio","Effect","Rock","Rock","摇滚"
"Audio","Effect","Setting_Echo_Text","Reverb Effect","混响效果"
"Audio","Effect","Setting_Title","Sound Settings","音效设置"
"Audio","Effect","Setting_Volume_Text","Volume of Voice","人声音量"
"Audio","Effect","Space","Space","空间"
"Audio","Effect","Super_Text","Super","超级"
"Audio","Effect","Text","Effect","音效"
"Audio","Effect","Theatre","Theatre","小剧场"
"Audio","Effect","Tip_Builder","Reverb Effects","混响特效\n（%s）"
"Audio","Rhythm","Move_Left_Text","Moves forward by %d milliseconds","人声向前移动%d毫秒"
"Audio","Rhythm","Move_Right_Text","Moves backward by %d milliseconds","人声向后移动%d毫秒"
